time (hr),od-sensors-3.od-680_E21,od-sensors-6.od-680_E22,od-sensors-2.od-680_F21,od-sensors-5.od-680_F22,od-sensors-1.od-680_G21,od-sensors-7.od-680_G23,od-sensors-7.od-680_H21,od-sensors-8.od-680_H22
15.833333,0.024308,0.014337333,0.012885333,0.009075333,0.010876,0.010898027,0.019758667,0.01449
15.916667,0.02456,0.014511333,0.012971333,0.009101333,0.011016,0.011050973,0.020020667,0.01422
16,0.024728,0.014685333,0.013371333,0.009155333,0.011016,0.010858225,0.020020667,0.01394
16.083333,0.025008,0.014945333,0.013799333,0.009431333,0.011158,0.010922256,0.020136667,0.01531
16.166667,0.025064,0.015091333,0.014229333,0.009349333,0.011158,0.011416344,0.020252667,0.01449
16.25,0.025036,0.015119333,0.014743333,0.009295333,0.011158,0.010890023,0.020312667,0.01531
16.333333,0.025176,0.015119333,0.015087333,0.009295333,0.0113,0.011368036,0.020370667,0.01476
16.416667,0.02512,0.015263333,0.015087333,0.009515333,0.011442,0.011328192,0.020720667,0.01599
16.5,0.025316,0.015351333,0.015087333,0.009377333,0.011442,0.011693989,0.020924667,0.0149
16.583333,0.025428,0.015351333,0.015173333,0.009679333,0.011868,0.011983777,0.021188667,0.01544
16.666667,0.025792,0.015643333,0.015173333,0.009733333,0.01201,0.012268511,0.021538667,0.01613
16.75,0.025988,0.016139333,0.015059333,0.009789333,0.012152,0.011867646,0.021888667,0.01572
16.833333,0.026296,0.016431333,0.015317333,0.009679333,0.012294,0.012014793,0.022092667,0.01558
16.916667,0.026492,0.016547333,0.015259333,0.009707333,0.012578,0.012623096,0.022532667,0.01558
17,0.026828,0.016751333,0.015317333,0.009679333,0.012578,0.012366038,0.022648667,0.01503
17.083333,0.026856,0.016983333,0.015461333,0.009651333,0.01272,0.01246874,0.022794667,0.01585
17.166667,0.026968,0.016895333,0.015633333,0.010065333,0.012862,0.012660027,0.023116667,0.01668
17.25,0.027306,0.016837333,0.015691333,0.010093333,0.013146,0.013320198,0.023380667,0.01764
17.333333,0.027476,0.017071333,0.016093333,0.010147333,0.013288,0.01303608,0.023116667,0.01832
17.416667,0.02773,0.017509333,0.016093333,0.010093333,0.013572,0.013402643,0.023410667,0.01736
17.5,0.028152,0.017509333,0.016323333,0.010645333,0.013856,0.013761314,0.023822667,0.0175
17.583333,0.028492,0.017801333,0.016553333,0.010423333,0.01414,0.014169529,0.024382667,0.01791
17.666667,0.028436,0.018005333,0.016811333,0.010587333,0.014282,0.014512319,0.024706667,0.01791
17.75,0.028774,0.018093333,0.017071333,0.010725333,0.014424,0.014652411,0.025146667,0.01791
17.833333,0.028944,0.018093333,0.017301333,0.010945333,0.014424,0.014150281,0.025470667,0.01791
